10-MAY-06
"Adverse Events Category","AE/Supra-ordinate Term","Select AE","MedDRA LLT (v90)/ CTEP Term","MedDRA Code(v90)/ CTEP Code"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Colon","Colonic hemorrhage","10009998"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Duodenum","Duodenal hemorrhage","10055242"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Esophagus","Esophageal hemorrhage","10015384"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Ileum","Ileal hemorrhage","10055287"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Jejunum","Jejunal hemorrhage","10055300"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Liver","Hepatic hemorrhage","10019678"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Lower GI NOS","Lower gastrointestinal hemorrhage","10051746"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Oral cavity","Oral hemorrhage","10030980"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Pancreas","Pancreatic hemorrhage","10033626"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Peritoneal cavity","Peritoneal hemorrhage","10034667"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Rectum","Rectal hemorrhage","10038064"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Stoma","Intestinal stoma site bleeding","10049468"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Stomach","Gastric hemorrhage","10017789"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Upper GI NOS","Upper gastrointestinal hemorrhage","10055356"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Varices (esophageal)","Esophageal varices hemorrhage","10015453"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Varices (rectal)","Hemorrhoidal hemorrhage","10060640"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Bladder","Bladder hemorrhage","10055231"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Fallopian tube","Hematosalpinx","10060602"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Kidney","Renal hemorrhage","10038463"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Ovary","Ovarian hemorrhage","10065763"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Prostate","Prostatic hemorrhage","10055325"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Retroperitoneum","Retroperitoneal hemorrhage","10038981"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Spermatic cord","Spermatic cord hemorrhage","10065762"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Stoma","Urostomy site bleeding","10065748"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Testes","Testicular hemorrhage","10055347"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Ureter","Ureteric hemorrhage","10065760"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Urethra","Urethral hemorrhage","10055357"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Urinary NOS","Hemorrhage urinary tract","10019591"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Uterus","Uterine hemorrhage","10046789"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Vagina","Vaginal hemorrhage","10046912"
"HEMORRHAGE/BLEEDING","Hemorrhage, GU","Vas deferens","Vas deferens hemorrhage","10065896"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Bronchopulmonary NOS","Bronchopulmonary hemorrhage","10065746"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Bronchus","Bronchial hemorrhage","10065757"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Larynx","Laryngeal hemorrhage","10065759"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Lung","Pulmonary hemorrhage","10037397"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Mediastinum","Mediastinal hemorrhage","10056356"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Nose","Hemorrhage nasal","10019561"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Pharynx","Pharyngeal hemorrhage","10055315"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Pleura","Pleural hemorrhage","10055319"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Respiratory tract NOS","Respiratory tract hemorrhage","10038730"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Stoma","Tracheostomy site bleeding","10065749"
"HEMORRHAGE/BLEEDING","Hemorrhage, pulmonary/upper respiratory","Trachea","Tracheal hemorrhage","10062548"
"HEMORRHAGE/BLEEDING","Hemorrhage/Bleeding - Other (Specify, __)",,"Hemorrhage","10019524"
"HEMORRHAGE/BLEEDING","Hemorrhage/bleeding associated with surgery, intra-operative or postoperative",,"Postoperative hemorrhage","10055322"
"HEMORRHAGE/BLEEDING","Petechiae/purpura (hemorrhage/bleeding into skin or mucosa)",,"Petechiae","10034754"
"HEPATOBILIARY/PANCREAS","Cholecystitis",,"Cholecystitis","10008612"
"HEPATOBILIARY/PANCREAS","Hepatobiliary/Pancreas - Other (Specify, __)",,"Hepatobiliary disease","10062000"
"HEPATOBILIARY/PANCREAS","Liver dysfunction/failure (clinical)",,"Hepatic failure","10019663"
"HEPATOBILIARY/PANCREAS","Pancreas, exocrine enzyme deficiency",,"Pancreatic enzymes decreased","10062646"
"HEPATOBILIARY/PANCREAS","Pancreatitis",,"Pancreatitis","10033645"
"INFECTION","Colitis, infectious (e.g., Clostridium difficile)",,"Colitis, infectious (e.g., Clostridium difficile)","90030994"
"INFECTION","Febrile neutropenia (fever of unknown origin without clinically or microbiologically documented infection)(ANC <1.0 x 10e9/L, fever >=38.5 degrees C)",,"Febrile neutropenia","10016288"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Abdomen NOS","Abdominal infection","90030154"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Anal/perianal","Anal infection","90030156"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Appendix","Appendicitis","90030158"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Artery","Arteritis infective","90030160"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Biliary tree","Biliary tract infection","90030162"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Bladder (urinary)","Bladder infection","90030164"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Blood","Sepsis","90030984"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Bone (osteomyelitis)","Bone infection","90030166"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Brain (encephalitis, infectious)","Encephalitis infection","90030168"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Brain + Spinal cord (encephalomyelitis)","Encephalomyelitis infection","90030170"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Bronchus","Bronchitis","90030172"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Catheter-related","Catheter related infection","90030174"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Cecum","Cecal infection","90030176"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Cervix","Cervicitis","90030178"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Colon","Infectious colitis","90030180"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Conjunctiva","Conjunctivitis infective","90030182"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Cornea","Corneal infection","90030184"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Dental-tooth","Tooth infection","90030186"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Duodenum","Duodenal infection","90030188"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Esophagus","Esophageal infection","90030190"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","External ear (otitis externa)","Otitis externa","90030192"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Eye NOS","Eye infection","90030194"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Fallopian tube","Salpingitis infection","90030196"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Foreign body (e.g., graft, implant, prosthesis, stent)","Device related infection","90030198"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Gallbladder (cholecystitis)","Gallbladder infection","90030200"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Heart (endocarditis)","Endocarditis infective","90030202"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Ileum","Ileal infection","90030204"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Jejunum","Jejunal infection","90030206"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Joint","Joint infection","90030208"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Kidney","Kidney infection","90030210"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Larynx","Laryngitis","90030212"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Lens","Eye infection intraocular","90030214"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Lip/perioral","Lip infection","90030216"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Liver","Hepatic infection","90030218"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Lung (pneumonia)","Pneumonia","90030220"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Lymphatic","Lymph gland infection","90030222"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Mediastinum NOS","Mediastinal infection","90030224"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Meninges (meningitis)","Infectious meningitis","90030226"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Middle ear (otitis media)","Otitis media","90030228"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Mucosa","Mucosal infection","90030230"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Muscle (infection myositis)","Infective myositis","90030232"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Neck NOS","Infection","90030234"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Nerve-cranial","Cranial nerve infection","90030236"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Nerve-peripheral","Peripheral nerve infection","90030238"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Nose","Rhinitis infective","90030240"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Oral cavity-gums (gingivitis)","Gingival infection","90030242"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Pancreas","Pancreas infection","90030244"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Paranasal","Paranasal sinus infection","90030246"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Pelvis NOS","Pelvic infection","90030248"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Penis","Penile infection","90030250"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Peristomal","Stoma site infection","90030252"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Peritoneal cavity","Peritoneal infection","90030254"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Pharynx","Pharyngitis","90030256"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Pleura (empyema)","Pleural infection","90030258"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Prostate","Prostate infection","90030260"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Rectum","Anorectal infection","90030262"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Salivary gland","Salivary gland infection","90030264"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Scrotum","Scrotal infection","90030266"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Sinus","Sinusitis","90030268"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Skin (cellulitis)","Skin infection","90030270"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Small bowel NOS","Small intestine infection","90030272"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Soft tissue NOS","Soft tissue infection","90030274"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Spinal cord (myelitis)","Spinal cord infection","90030276"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Spleen","Splenic infection","90030278"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Stomach","Gastric infection","90030280"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Trachea","Tracheitis","90030282"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Ungual (nails)","Nail infection","90030284"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Upper aerodigestive NOS","Upper aerodigestive tract infection","90030286"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Upper airway NOS","Upper respiratory infection","90030288"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Ureter","Ureteritis","90030290"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Urethra","Urethral infection","90030292"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Urinary tract NOS","Urinary tract infection","90030294"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Uterus","Uterine infection","90030296"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Vagina","Vaginal infection","90030298"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Vein","Phlebitis infective","90030300"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Vulva","Vulval infection","90030302"
"INFECTION","Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils (ANC <1.0 x 10e9/L)","Wound","Wound infection","90030304"
"INFECTION","Infection - Other (Specify, __)",,"Infection","10021789"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Abdomen NOS","Abdominal infection","90031118"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Anal/perianal","Anal infection","90030998"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Appendix","Appendicitis","90030306"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Artery","Arteritis infective","90030308"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Biliary tree","Biliary tract infection","90031006"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Bladder (urinary)","Bladder infection","90031010"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Blood","Sepsis","90030986"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Bone (osteomyelitis)","Bone infection","90031014"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Brain (encephalitis, infectious)","Encephalitis infection","90031034"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Brain + Spinal cord (encephalomyelitis)","Encephalomyelitis infection","90031038"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Bronchus","Bronchitis","90031018"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Catheter-related","Catheter related infection","90030309"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Cecum","Cecal infection","90030310"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Cervix","Cervicitis","90031022"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Colon","Infectious colitis","90030312"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Conjunctiva","Conjunctivitis infective","90030314"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Cornea","Corneal infection","90031026"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Dental-tooth","Tooth infection","90031186"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Duodenum","Duodenal infection","90030316"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Esophagus","Esophageal infection","90030318"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","External ear (otitis externa)","Otitis externa","90030319"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Eye NOS","Eye infection","90031042"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Fallopian tube","Salpingitis infection","90030320"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Foreign body (e.g., graft, implant, prosthesis, stent)","Device related infection","90031030"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Gallbladder (cholecystitis)","Gallbladder infection","90030322"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Heart (endocarditis)","Endocarditis infective","90031122"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Ileum","Ileal infection","90030324"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Jejunum","Jejunal infection","90030326"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Joint","Joint infection","90031046"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Kidney","Kidney infection","90031050"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Larynx","Laryngitis","90030328"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Lens","Eye infection intraocular","90030330"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Lip/perioral","Lip infection","90030332"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Liver","Hepatic infection","90031134"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Lung (pneumonia)","Pneumonia","90031074"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Lymphatic","Lymph gland infection","90031146"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Mediastinum NOS","Mediastinal infection","90031150"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Meninges (meningitis)","Infectious meningitis","90031138"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Middle ear (otitis media)","Otitis media","90031062"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Mucosa","Mucosal infection","90031054"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Muscle (infection myositis)","Infective myositis","90031142"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Neck NOS","Infection","90030334"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Nerve-cranial","Cranial nerve infection","90030336"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Nerve-peripheral","Peripheral nerve infection","90030338"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Nose","Rhinitis infective","90031174"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Oral cavity-gums (gingivitis)","Gingival infection","90031130"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Pancreas","Pancreas infection","90031154"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Paranasal","Paranasal sinus infection","90030340"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Pelvis NOS","Pelvic infection","90030342"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Penis","Penile infection","90031066"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Peristomal","Stoma site infection","90030344"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Peritoneal cavity","Peritoneal infection","90031158"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Pharynx","Pharyngitis","90031162"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Pleura (empyema)","Pleural infection","90031070"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Prostate","Prostate infection","90031170"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Rectum","Anorectal infection","90031002"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Salivary gland","Salivary gland infection","90030346"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Scrotum","Scrotal infection","90031078"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Sinus","Sinusitis","90031082"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Skin (cellulitis)","Skin infection","90031178"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Small bowel NOS","Small intestine infection","90030348"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Soft tissue NOS","Soft tissue infection","90031086"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Spinal cord (myelitis)","Spinal cord infection","90031182"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Spleen","Splenic infection","90031090"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Stomach","Gastric infection","90031126"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Trachea","Tracheitis","90031094"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Ungual (nails)","Nail infection","90031058"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Upper aerodigestive NOS","Upper aerodigestive tract infection","90030350"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Upper airway NOS","Upper respiratory infection","90031098"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Ureter","Ureteritis","90031190"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Urethra","Urethral infection","90031194"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Urinary tract NOS","Urinary tract infection","90031102"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Uterus","Uterine infection","90031106"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Vagina","Vaginal infection","90031110"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Vein","Phlebitis infective","90031166"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Vulva","Vulvitis","90031114"
"INFECTION","Infection with normal ANC or Grade 1 or 2 neutrophils","Wound","Wound infection","90030351"
"INFECTION","Infection with unknown ANC","Abdomen NOS","Abdominal infection","10056519"
"INFECTION","Infection with unknown ANC","Anal/perianal","Anal infection","10061628"
"INFECTION","Infection with unknown ANC","Appendix","Appendicitis","10003011"
"INFECTION","Infection with unknown ANC","Artery","Arteritis infective","10065744"
"INFECTION","Infection with unknown ANC","Biliary tree","Biliary tract infection","10061695"
"INFECTION","Infection with unknown ANC","Bladder (urinary)","Bladder infection","10005047"
"INFECTION","Infection with unknown ANC","Blood","Sepsis","10040047"
"INFECTION","Infection with unknown ANC","Bone (osteomyelitis)","Bone infection","10061017"
"INFECTION","Infection with unknown ANC","Brain (encephalitis, infectious)","Encephalitis infection","10014594"
"INFECTION","Infection with unknown ANC","Brain + Spinal cord (encephalomyelitis)","Encephalomyelitis infection","10014621"
"INFECTION","Infection with unknown ANC","Bronchus","Bronchitis","10006451"
"INFECTION","Infection with unknown ANC","Catheter-related","Catheter related infection","10007810"
"INFECTION","Infection with unknown ANC","Cecum","Cecal infection","10065761"
"INFECTION","Infection with unknown ANC","Cervix","Cervicitis","10008323"
"INFECTION","Infection with unknown ANC","Colon","Infectious colitis","10021905"
"INFECTION","Infection with unknown ANC","Conjunctiva","Conjunctivitis infective","10010742"
"INFECTION","Infection with unknown ANC","Cornea","Corneal infection","10061788"
"INFECTION","Infection with unknown ANC","Dental-tooth","Tooth infection","10048762"
"INFECTION","Infection with unknown ANC","Duodenum","Duodenal infection","10065752"
"INFECTION","Infection with unknown ANC","Esophagus","Esophageal infection","10058804"
"INFECTION","Infection with unknown ANC","External ear (otitis externa)","Otitis externa","10033072"
