"Adverse Events Category","AE/Supra-ordinate Term","Select AE","Grade","Description"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Pharynx",1,"Erythema of the mucosa"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Pharynx",2,"Patchy ulcerations or pseudomembranes"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Pharynx",3,"Confluent ulcerations or pseudomembranes; bleeding with minor trauma"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Pharynx",4,"Tissue necrosis; significant spontaneous bleeding; life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Pharynx",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Rectum",1,"Erythema of the mucosa"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Rectum",2,"Patchy ulcerations or pseudomembranes"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Rectum",3,"Confluent ulcerations or pseudomembranes; bleeding with minor trauma"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Rectum",4,"Tissue necrosis; significant spontaneous bleeding; life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Rectum",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Small bowel",1,"Erythema of the mucosa"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Small bowel",2,"Patchy ulcerations or pseudomembranes"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Small bowel",3,"Confluent ulcerations or pseudomembranes; bleeding with minor trauma"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Small bowel",4,"Tissue necrosis; significant spontaneous bleeding; life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Small bowel",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Stomach",1,"Erythema of the mucosa"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Stomach",2,"Patchy ulcerations or pseudomembranes"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Stomach",3,"Confluent ulcerations or pseudomembranes; bleeding with minor trauma"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Stomach",4,"Tissue necrosis; significant spontaneous bleeding; life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Stomach",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Trachea",1,"Erythema of the mucosa"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Trachea",2,"Patchy ulcerations or pseudomembranes"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Trachea",3,"Confluent ulcerations or pseudomembranes; bleeding with minor trauma"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Trachea",4,"Tissue necrosis; significant spontaneous bleeding; life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Trachea",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Anus",1,"Upper aerodigestive tract sites: Minimal symptoms, normal diet; minimal respiratory symptoms but not interfering with function

Lower GI sites: Minimal discomfort, intervention not indicated"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Anus",2,"Upper aerodigestive tract sites: Symptomatic but can eat and swallow modified diet; respiratory symptoms interfering with function but not interfering with ADL

Lower GI sites: Symptomatic, medical intervention indicated but not interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Anus",3,"Upper aerodigestive tract sites: Symptomatic and unable to adequately aliment or hydrate orally; respiratory symptoms interfering with ADL

Lower GI sites: Stool incontinence or other symptoms interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Anus",4,"Symptoms associated with life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Anus",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Esophagus",1,"Upper aerodigestive tract sites: Minimal symptoms, normal diet; minimal respiratory symptoms but not interfering with function

Lower GI sites: Minimal discomfort, intervention not indicated"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Esophagus",2,"Upper aerodigestive tract sites: Symptomatic but can eat and swallow modified diet; respiratory symptoms interfering with function but not interfering with ADL

Lower GI sites: Symptomatic, medical intervention indicated but not interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Esophagus",3,"Upper aerodigestive tract sites: Symptomatic and unable to adequately aliment or hydrate orally; respiratory symptoms interfering with ADL

Lower GI sites: Stool incontinence or other symptoms interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Esophagus",4,"Symptoms associated with life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Esophagus",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Large bowel",1,"Upper aerodigestive tract sites: Minimal symptoms, normal diet; minimal respiratory symptoms but not interfering with function

Lower GI sites: Minimal discomfort, intervention not indicated"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Large bowel",2,"Upper aerodigestive tract sites: Symptomatic but can eat and swallow modified diet; respiratory symptoms interfering with function but not interfering with ADL

Lower GI sites: Symptomatic, medical intervention indicated but not interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Large bowel",3,"Upper aerodigestive tract sites: Symptomatic and unable to adequately aliment or hydrate orally; respiratory symptoms interfering with ADL

Lower GI sites: Stool incontinence or other symptoms interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Large bowel",4,"Symptoms associated with life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Large bowel",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Larynx",1,"Upper aerodigestive tract sites: Minimal symptoms, normal diet; minimal respiratory symptoms but not interfering with function

Lower GI sites: Minimal discomfort, intervention not indicated"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Larynx",2,"Upper aerodigestive tract sites: Symptomatic but can eat and swallow modified diet; respiratory symptoms interfering with function but not interfering with ADL

Lower GI sites: Symptomatic, medical intervention indicated but not interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Larynx",3,"Upper aerodigestive tract sites: Symptomatic and unable to adequately aliment or hydrate orally; respiratory symptoms interfering with ADL

Lower GI sites: Stool incontinence or other symptoms interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Larynx",4,"Symptoms associated with life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Larynx",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Oral cavity",1,"Upper aerodigestive tract sites: Minimal symptoms, normal diet; minimal respiratory symptoms but not interfering with function

Lower GI sites: Minimal discomfort, intervention not indicated"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Oral cavity",2,"Upper aerodigestive tract sites: Symptomatic but can eat and swallow modified diet; respiratory symptoms interfering with function but not interfering with ADL

Lower GI sites: Symptomatic, medical intervention indicated but not interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Oral cavity",3,"Upper aerodigestive tract sites: Symptomatic and unable to adequately aliment or hydrate orally; respiratory symptoms interfering with ADL

Lower GI sites: Stool incontinence or other symptoms interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Oral cavity",4,"Symptoms associated with life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Oral cavity",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Pharynx",1,"Upper aerodigestive tract sites: Minimal symptoms, normal diet; minimal respiratory symptoms but not interfering with function

Lower GI sites: Minimal discomfort, intervention not indicated"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Pharynx",2,"Upper aerodigestive tract sites: Symptomatic but can eat and swallow modified diet; respiratory symptoms interfering with function but not interfering with ADL

Lower GI sites: Symptomatic, medical intervention indicated but not interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Pharynx",3,"Upper aerodigestive tract sites: Symptomatic and unable to adequately aliment or hydrate orally; respiratory symptoms interfering with ADL

Lower GI sites: Stool incontinence or other symptoms interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Pharynx",4,"Symptoms associated with life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Pharynx",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Rectum",1,"Upper aerodigestive tract sites: Minimal symptoms, normal diet; minimal respiratory symptoms but not interfering with function

Lower GI sites: Minimal discomfort, intervention not indicated"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Rectum",2,"Upper aerodigestive tract sites: Symptomatic but can eat and swallow modified diet; respiratory symptoms interfering with function but not interfering with ADL

Lower GI sites: Symptomatic, medical intervention indicated but not interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Rectum",3,"Upper aerodigestive tract sites: Symptomatic and unable to adequately aliment or hydrate orally; respiratory symptoms interfering with ADL

Lower GI sites: Stool incontinence or other symptoms interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Rectum",4,"Symptoms associated with life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Rectum",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Small bowel",1,"Upper aerodigestive tract sites: Minimal symptoms, normal diet; minimal respiratory symptoms but not interfering with function

Lower GI sites: Minimal discomfort, intervention not indicated"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Small bowel",2,"Upper aerodigestive tract sites: Symptomatic but can eat and swallow modified diet; respiratory symptoms interfering with function but not interfering with ADL

Lower GI sites: Symptomatic, medical intervention indicated but not interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Small bowel",3,"Upper aerodigestive tract sites: Symptomatic and unable to adequately aliment or hydrate orally; respiratory symptoms interfering with ADL

Lower GI sites: Stool incontinence or other symptoms interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Small bowel",4,"Symptoms associated with life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Small bowel",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Stomach",1,"Upper aerodigestive tract sites: Minimal symptoms, normal diet; minimal respiratory symptoms but not interfering with function

Lower GI sites: Minimal discomfort, intervention not indicated"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Stomach",2,"Upper aerodigestive tract sites: Symptomatic but can eat and swallow modified diet; respiratory symptoms interfering with function but not interfering with ADL

Lower GI sites: Symptomatic, medical intervention indicated but not interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Stomach",3,"Upper aerodigestive tract sites: Symptomatic and unable to adequately aliment or hydrate orally; respiratory symptoms interfering with ADL

Lower GI sites: Stool incontinence or other symptoms interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Stomach",4,"Symptoms associated with life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Stomach",5,"Death"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Trachea",1,"Upper aerodigestive tract sites: Minimal symptoms, normal diet; minimal respiratory symptoms but not interfering with function

Lower GI sites: Minimal discomfort, intervention not indicated"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Trachea",2,"Upper aerodigestive tract sites: Symptomatic but can eat and swallow modified diet; respiratory symptoms interfering with function but not interfering with ADL

Lower GI sites: Symptomatic, medical intervention indicated but not interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Trachea",3,"Upper aerodigestive tract sites: Symptomatic and unable to adequately aliment or hydrate orally; respiratory symptoms interfering with ADL

Lower GI sites: Stool incontinence or other symptoms interfering with ADL"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Trachea",4,"Symptoms associated with life-threatening consequences"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Trachea",5,"Death"
"GASTROINTESTINAL","Nausea",,1,"Loss of appetite without alteration in eating habits"
"GASTROINTESTINAL","Nausea",,2,"Oral intake decreased without significant weight loss, dehydration or malnutrition; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Nausea",,3,"Inadequate oral caloric or fluid intake; IV fluids, tube feedings, or TPN indicated >=24 hrs"
"GASTROINTESTINAL","Nausea",,4,"Life-threatening consequences"
"GASTROINTESTINAL","Nausea",,5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Anus",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Anus",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Anus",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Colon/cecum/appendix",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Colon/cecum/appendix",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Colon/cecum/appendix",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Duodenum",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Duodenum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Duodenum",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Esophagus",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Esophagus",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Esophagus",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Gallbladder",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Gallbladder",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Gallbladder",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Hepatic",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Hepatic",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Hepatic",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Ileum",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Ileum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Ileum",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Jejunum",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Jejunum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Jejunum",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Oral",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Oral",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Oral",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Pancreas",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Pancreas",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Pancreas",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Peritoneal cavity",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Peritoneal cavity",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Peritoneal cavity",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Pharynx",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Pharynx",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Pharynx",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Rectum",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Rectum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Rectum",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Small bowel NOS",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Small bowel NOS",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Small bowel NOS",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Stoma",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Stoma",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Stoma",5,"Death"
"GASTROINTESTINAL","Necrosis, GI","Stomach",3,"Inability to aliment adequately by GI tract (e.g., requiring enteral or parenteral nutrition); interventional radiology, endoscopic, or operative intervention indicated"
"GASTROINTESTINAL","Necrosis, GI","Stomach",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Necrosis, GI","Stomach",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Cecum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Cecum",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Cecum",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Cecum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Cecum",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Colon",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Colon",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Colon",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Colon",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Colon",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Duodenum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Duodenum",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Duodenum",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Duodenum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Duodenum",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Esophagus",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Esophagus",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Esophagus",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Esophagus",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Esophagus",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Gallbladder",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Gallbladder",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Gallbladder",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Gallbladder",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Gallbladder",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Ileum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Ileum",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Ileum",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Ileum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Ileum",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Jejunum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Jejunum",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Jejunum",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Jejunum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Jejunum",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Rectum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Rectum",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Rectum",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Rectum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Rectum",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Small bowel NOS",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Small bowel NOS",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Small bowel NOS",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Small bowel NOS",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Small bowel NOS",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Stoma",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Stoma",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Stoma",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Stoma",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Stoma",5,"Death"
"GASTROINTESTINAL","Obstruction, GI","Stomach",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Obstruction, GI","Stomach",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Obstruction, GI","Stomach",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, vomiting, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Obstruction, GI","Stomach",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Obstruction, GI","Stomach",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Appendix",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Appendix",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Appendix",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Appendix",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Appendix",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Biliary tree",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Biliary tree",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
